date,symbol,open,high,low,close,volume,values
2023-02-08,2330,538.00,540.00,534.00,540.00,37633169.00,20247927642.00
2023-02-09,2330,540.00,540.00,536.00,540.00,22311345.00,12026317167.00
2023-02-10,2330,544.00,546.00,541.00,545.00,30445088.00,16545221176.00
2023-02-13,2330,544.00,544.00,538.00,541.00,23903151.00,12921896752.00
2023-02-14,2330,544.00,546.00,543.00,545.00,23855974.00,12990943260.00
2023-02-15,2330,526.00,532.00,522.00,525.00,66068713.00,34751111404.00
2023-02-16,2330,528.00,531.00,524.00,528.00,33509968.00,17692691883.00
2023-02-17,2330,524.00,524.00,516.00,518.00,29673053.00,15385668299.00
2023-02-20,2330,514.00,519.00,511.00,517.00,21181235.00,10928087780.00
2023-02-21,2330,515.00,517.00,513.00,516.00,15097509.00,7771141142.00
2023-02-22,2330,506.00,509.00,505.00,507.00,26578867.00,13474662693.00
2023-02-23,2330,512.00,521.00,510.00,518.00,26801677.00,13846782345.00
2023-02-24,2330,524.00,525.00,511.00,511.00,48372303.00,24932422713.00
2023-03-01,2330,504.00,522.00,504.00,522.00,45971058.00,23624972884.00
2023-03-02,2330,519.00,520.00,515.00,519.00,18017085.00,9344352321.00
2023-03-03,2330,524.00,525.00,516.00,516.00,24117189.00,12510608773.00
2023-03-06,2330,520.00,524.00,517.00,521.00,24741125.00,12883854256.00
2023-03-07,2330,521.00,526.00,519.00,524.00,27650283.00,14465320023.00
2023-03-08,2330,521.00,523.00,518.00,521.00,27077587.00,14091713576.00
2023-03-09,2330,525.00,526.00,522.00,522.00,25639391.00,13430582677.00
2023-03-10,2330,515.00,516.00,511.00,513.00,25572403.00,13122265260.00
2023-03-13,2330,513.00,518.00,509.00,516.00,22568740.00,11608973891.00
2023-03-14,2330,511.00,514.00,510.00,510.00,26599476.00,13602260966.00
2023-03-15,2330,515.00,516.00,510.00,511.00,24080361.00,12350942139.00
2023-03-16,2330,505.00,510.00,504.00,505.00,23325664.00,11809911840.00
2023-03-17,2330,516.00,518.00,513.00,518.00,35872881.00,18538033584.00
2023-03-20,2330,517.00,518.00,510.00,512.00,12752221.00,6542889562.00
2023-03-21,2330,515.00,517.00,512.00,517.00,18519120.00,9534730452.00
2023-03-22,2330,524.00,533.00,524.00,533.00,45681056.00,24168561556.00
2023-03-23,2330,528.00,539.00,528.00,538.00,28614856.00,15307492846.00
2023-03-24,2330,536.00,539.00,535.00,539.00,22963771.00,12348311773.00
2023-03-27,2330,533.00,536.00,531.00,531.00,17170557.00,9148085033.00
2023-03-28,2330,525.00,530.00,524.00,525.00,18327556.00,9629323504.00
2023-03-29,2330,533.00,533.00,525.00,530.00,17620195.00,9329137251.00
2023-03-30,2330,536.00,537.00,531.00,535.00,20380650.00,10894446851.00
2023-03-31,2330,538.00,538.00,532.00,533.00,24324776.00,12997575231.00
2023-04-06,2330,530.00,531.00,526.00,530.00,26706549.00,14130223516.00
2023-04-07,2330,535.00,535.00,529.00,531.00,11114272.00,5903807797.00
2023-04-10,2330,533.00,533.00,528.00,529.00,8203168.00,4350907176.00
2023-04-11,2330,522.00,527.00,522.00,524.00,23087326.00,12101146147.00
2023-04-12,2330,523.00,524.00,517.00,520.00,24772925.00,12870788209.00
2023-04-13,2330,515.00,517.00,510.00,510.00,27501436.00,14121978133.00
2023-04-14,2330,516.00,520.00,513.00,516.00,21174653.00,10936462759.00
2023-04-17,2330,519.00,520.00,514.00,520.00,17895837.00,9264789087.00
2023-04-18,2330,518.00,520.00,514.00,515.00,15687059.00,8097905529.00
2023-04-19,2330,517.00,518.00,509.00,510.00,23209923.00,11881404238.00
2023-04-20,2330,512.00,516.00,510.00,513.00,21002685.00,10780268259.00
2023-04-21,2330,520.00,520.00,510.00,511.00,25440179.00,13103618008.00
2023-04-24,2330,505.00,510.00,504.00,507.00,17579661.00,8903570323.00
2023-04-25,2330,504.00,505.00,498.00,498.00,40916105.00,20495640143.00
2023-04-26,2330,498.00,498.50,491.00,491.50,33174539.00,16353670134.00
2023-04-27,2330,491.00,495.00,489.00,493.50,34149043.00,16816693302.00
2023-04-28,2330,498.50,502.00,498.00,502.00,38812949.00,19433015577.00
2023-05-02,2330,500.00,502.00,496.50,501.00,17142380.00,8572554842.00
2023-05-03,2330,496.00,498.00,495.00,496.00,12694698.00,6305914905.00
2023-05-04,2330,497.00,499.50,496.00,498.00,13699933.00,6818128036.00
2023-05-05,2330,500.00,502.00,498.50,500.00,7898012.00,3949232374.00
2023-05-08,2330,509.00,509.00,502.00,504.00,11737287.00,5932968954.00
2023-05-09,2330,507.00,510.00,505.00,510.00,18762778.00,9530653802.00
2023-05-10,2330,508.00,508.00,500.00,503.00,19385820.00,9753130414.00
2023-05-11,2330,506.00,506.00,498.50,499.00,13775130.00,6894746011.00
2023-05-12,2330,496.00,500.00,495.00,496.00,20746928.00,10313384387.00
2023-05-15,2330,497.00,499.50,494.50,495.50,15548031.00,7721867966.00
2023-05-16,2330,503.00,508.00,500.00,505.00,24052785.00,12131536763.00
2023-05-17,2330,508.00,521.00,506.00,519.00,44352410.00,22870340267.00
2023-05-18,2330,533.00,536.00,526.00,530.00,46107848.00,24437734052.00
2023-05-19,2330,535.00,535.00,529.00,532.00,34742592.00,18476363730.00
2023-05-22,2330,532.00,533.00,529.00,531.00,19037508.00,10100912410.00
2023-05-23,2330,530.00,531.00,525.00,530.00,20126817.00,10638352410.00
2023-05-24,2330,527.00,528.00,524.00,525.00,22621221.00,11888325332.00
2023-05-25,2330,542.00,545.00,537.00,543.00,68360924.00,36976525917.00
2023-05-26,2330,568.00,568.00,563.00,566.00,104924623.00,59322536825.00
2023-05-29,2330,574.00,574.00,564.00,568.00,58813792.00,33454887785.00
2023-05-30,2330,566.00,568.00,563.00,566.00,47490594.00,26861389177.00
